"NGenes","Direction","PValue","FDR","path","genes","locus_tag","DEgenes","DElocus","GeneRatio","term","type"
10,"Attenuated",5.38743962965251e-05,0.000660859261237374,"Serine-type Endopeptidase Activity","htrA,lon,lonH,SL1344_1414,sohB,opdB,mepA,degQ,degS,glpG","SL1344_0210,SL1344_0444,SL1344_1008,SL1344_1414,SL1344_1648,SL1344_1813,SL1344_2352,SL1344_3320,SL1344_3321,SL1344_3491","degS,htrA,lon","SL1344_3321,SL1344_0210,SL1344_0444",0.3,"GO:0004252","GO"
10,"Attenuated",8.89149204848866e-05,0.0010225215855762,"Plasma Membrane Respiratory Chain Complex I","nuoN,nuoM,nuoL,nuoJ,nuoH,nuoG,nuoF,nuoC,nuoB,nuoA","SL1344_2285,SL1344_2286,SL1344_2287,SL1344_2289,SL1344_2291,SL1344_2292,SL1344_2293,SL1344_2295,SL1344_2296,SL1344_2297","nuoC,nuoH,nuoJ","SL1344_2295,SL1344_2291,SL1344_2289",0.3,"GO:0045272","GO"
12,"Attenuated",0.000248814287389117,0.00269304875762338,"One Carbon Pool By Folate","folD,purU,purT,purN,glyA,gcvT,ygfA,fmt,yigZ,metF,purH,metH","SL1344_0535,SL1344_1687,SL1344_1817,SL1344_2463,SL1344_2517,SL1344_3031,SL1344_3037,SL1344_3374,SL1344_3938,SL1344_4055,SL1344_4115,SL1344_4123","purH,purN","SL1344_4115,SL1344_2463",0.166666666666667,"map00670","KEGG"
18,"Attenuated",0.000420611255722015,0.00429958172515837,"Quinone Binding","gcd,cyoB,cyoA,sdhC,yliI,dld,nuoN,nuoM,nuoL,nuoJ,nuoH,nuoG,nuoF,nuoC,nuoB,nuoA,hycG,hycE","SL1344_0170,SL1344_0436,SL1344_0437,SL1344_0714,SL1344_0837,SL1344_2145,SL1344_2285,SL1344_2286,SL1344_2287,SL1344_2289,SL1344_2291,SL1344_2292,SL1344_2293,SL1344_2295,SL1344_2296,SL1344_2297,SL1344_2827,SL1344_2829","nuoC,nuoH,nuoJ","SL1344_2295,SL1344_2291,SL1344_2289",0.166666666666667,"GO:0048038","GO"
13,"Attenuated",0.000513087636638948,0.00496884869166139,"Enterobacterial Common Antigen Biosynthetic Process","yiaH,rfe,wzzE,rffE,rffD,rffG,rffH,rffC,rffA,wzxE,SL1344_3886,rffT,rffM","SL1344_3623,SL1344_3877,SL1344_3878,SL1344_3879,SL1344_3880,SL1344_3881,SL1344_3882,SL1344_3883,SL1344_3884,SL1344_3885,SL1344_3886,SL1344_3887,SL1344_3888","SL1344_3886,wzxE,rffA","SL1344_3886,SL1344_3885,SL1344_3884",0.230769230769231,"GO:0009246","GO"
38,"Attenuated",0.000854642924656999,0.00786271490684439,"Flagellar Assembly","flgN,flgM,flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgK,flgL,flhAa,flhB,motB,motA,flhC,flhD,fliA,fliC,fliD,fliS,fliT,fliE,fliF,fliG,fliH,fliI,fliJ,fliK,fliM,fliN,fliO,fliP,fliQ,fliR,fljB","SL1344_1108,SL1344_1109,SL1344_1110,SL1344_1111,SL1344_1112,SL1344_1113,SL1344_1114,SL1344_1115,SL1344_1116,SL1344_1117,SL1344_1118,SL1344_1120,SL1344_1121,SL1344_1848,SL1344_1849,SL1344_1857,SL1344_1858,SL1344_1859,SL1344_1860,SL1344_1885,SL1344_1888,SL1344_1889,SL1344_1890,SL1344_1891,SL1344_1897,SL1344_1898,SL1344_1899,SL1344_1900,SL1344_1901,SL1344_1902,SL1344_1903,SL1344_1905,SL1344_1906,SL1344_1907,SL1344_1908,SL1344_1909,SL1344_1910,SL1344_2756","flgM,fliM,flgN","SL1344_1109,SL1344_1905,SL1344_1108",0.0789473684210526,"map02040","KEGG"
13,"Amplified",0.00181534369888567,0.0153041328545134,"Lipid A Biosynthetic Process","lpxC,lpxH,pagP,yfbE,pmrF,yfbG,SL1344_2269,arnT,SL1344_2271,SL1344_2272,lpxP,yhjW,yjdB","SL1344_0134,SL1344_0528,SL1344_0616,SL1344_2266,SL1344_2267,SL1344_2268,SL1344_2269,SL1344_2270,SL1344_2271,SL1344_2272,SL1344_2369,SL1344_3600,SL1344_4230","","",0,"GO:0009245","GO"
47,"Attenuated",0.0018298419717353,0.0153041328545134,"Pyrimidine Metabolism","carA,carB,yaiE,dnaX,ushA,holA,pyrD,hpaC,pyrC,ydfG,pyrF,tdk,holE,udk,cdd,SL1344_2163,yeiA,SL1344_2301,flhAb,upp,ndk,nrdE,nrdF,surE,mazG,ygdH,pnp,codA,yrfG,pyrE,rpoZ,udp,yigZ,polA,rpoB,rpoC,cpdB,SL1344_4375,nrdD,pyrI,pyrB,yjjG,deoA,deoD,SL1344_P1_0042,SL1344_P1_0058,yacC","SL1344_0067,SL1344_0068,SL1344_0386,SL1344_0477,SL1344_0487,SL1344_0634,SL1344_0998,SL1344_1037,SL1344_1100,SL1344_1441,SL1344_1639,SL1344_1681,SL1344_1810,SL1344_2099,SL1344_2160,SL1344_2163,SL1344_2164,SL1344_2301,SL1344_2385,SL1344_2461,SL1344_2488,SL1344_2792,SL1344_2793,SL1344_2906,SL1344_2933,SL1344_2949,SL1344_3255,SL1344_3306,SL1344_3463,SL1344_3699,SL1344_3707,SL1344_3922,SL1344_3938,SL1344_3947,SL1344_4092,SL1344_4093,SL1344_4336,SL1344_4375,SL1344_4382,SL1344_4390,SL1344_4391,SL1344_4487,SL1344_4495,SL1344_4497,SL1344_P1_0042,SL1344_P1_0058,SL1344_P2_0005","carB,pyrC,carA,pyrF,pyrE,pyrD,rpoC,pyrB,polA,pnp,rpoZ","SL1344_0068,SL1344_1100,SL1344_0067,SL1344_1639,SL1344_3699,SL1344_0998,SL1344_4093,SL1344_4391,SL1344_3947,SL1344_3255,SL1344_3707",0.234042553191489,"map00240","KEGG"
24,"Attenuated",0.00594785260109153,0.0475828208087322,"Cell Redox Homeostasis","tsaA,ybbN,ykgC,ahpC,ahpF,cydC,cydD,scsD,grxB,ydhD,tpx,ccmG2,bcp,trxC,nrdH,dsbC,SL1344_3166,gor,grxC,ccmG1,trxA,dsbA,udhA,dipZ","SL1344_0397,SL1344_0497,SL1344_0552,SL1344_0596,SL1344_0597,SL1344_0894,SL1344_0895,SL1344_1055,SL1344_1102,SL1344_1365,SL1344_1612,SL1344_2223A,SL1344_2454,SL1344_2613,SL1344_2790,SL1344_3019,SL1344_3166,SL1344_3562,SL1344_3668,SL1344_3780,SL1344_3875,SL1344_3945,SL1344_4075,SL1344_4260","dsbA,trxA,cydD,cydC","SL1344_3945,SL1344_3875,SL1344_0895,SL1344_0894",0.166666666666667,"GO:0045454","GO"
24,"Attenuated",0.00633810524033419,0.0485921401758954,"Phenylalanine, Tyrosine And Tryptophan Biosynthesis","aroL,aroG,aroA,aspC,aroQ,aroH,aroD,aroE,trpE,trpD,trpC,trpB,trpA,hisC,aroC,pheA,tyrA,aroF,SL1344_3368,pabA,aroB,aroK,SL1344_3826,tyrB","SL1344_0383,SL1344_0737,SL1344_0915,SL1344_0935,SL1344_1204,SL1344_1281,SL1344_1292,SL1344_1293,SL1344_1654,SL1344_1655,SL1344_1656,SL1344_1657,SL1344_1658,SL1344_2050,SL1344_2353,SL1344_2625,SL1344_2627,SL1344_2628,SL1344_3368,SL1344_3436,SL1344_3453,SL1344_3454,SL1344_3826,SL1344_4184","aroC,SL1344_3368,aroA,hisC,aroD,aroB,aroK,aroH,aspC","SL1344_2353,SL1344_3368,SL1344_0915,SL1344_2050,SL1344_1292,SL1344_3453,SL1344_3454,SL1344_1281,SL1344_0935",0.375,"map00400","KEGG"
