"CpxR","RpoE","RpoS","RcsB","Fur","ArcA","FNR","Lrp","OxyR","OmpR","PmrAB","SlyA","CRP","PhoP","CS54","Oaf","SLP105","SLP203","SLP272","SLP281","SLP285","SLP289","SLP443","SPI-1","SPI-2","SPI-3","SPI-4","SPI-6","SPI-9","SPI-12","SPI-13","SPI-16"
"","","","","","SL1344_1241","","","","","","","SL1344_3090","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1263","","","","","","","SL1344_3063","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1301","","","","","","","SL1344_3127","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1302","","","","","","","yqie","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1391","","","","","","","SL1344_3158","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1448","","","","","","","icc","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1449","","","","","","","SL1344_3156","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1450","","","","","","","SL1344_3155","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1467","","","","","","","ytfq","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1468","","","","","","","ytfr","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1477","","","","","","","ytfs","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1555","","","","","","","ytft","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1598","","","","","","","yjff","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1644","","","","","","","SL1344_2391","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1659","","","","","","","bglg","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1660","","","","","","","SL1344_3579","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1661","","","","","","","SL1344_3848","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1662","","","","","","","SL1344_3849","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1699","","","","","","","SL1344_3850","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1714","","","","","","","SL1344_3851","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1716","","","","","","","SL1344_3852","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1718","","","","","","","SL1344_3853","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1719","","","","","","","SL1344_3997","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1723","","","","","","","SL1344_3998","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1730","","","","","","","SL1344_0714","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1731","","","","","","","SL1344_0715","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1745","","","","","","","SL1344_0716","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1747","","","","","","","SL1344_0717","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1763","","","","","","","tnal","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1764","","","","","","","tnaa","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1779","","","","","","","tnab","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1780","","","","","","","SL1344_4385","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1787","","","","","","","SL1344_4384","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1799","","","","","","","SL1344_0911","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1800","","","","","","","SL1344_0910","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1814","","","","","","","SL1344_2168","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1815","","","","","","","SL1344_2252","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1816","","","","","","","SL1344_2251","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1830","","","","","","","malx","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1862","","","","","","","maly","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_1863","","","","","","","SL1344_4234","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2112","","","","","","","SL1344_2167","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2141","","","","","","","SL1344_2166","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2184","","","","","","","SL1344_2165","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2185","","","","","","","SL1344_1140","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2186","","","","","","","SL1344_2394","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2196","","","","","","","SL1344_2395","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2197","","","","","","","SL1344_2396","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2217","","","","","","","SL1344_3432","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2219","","","","","","","SL1344_4263","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2220","","","","","","","SL1344_4494","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2309","","","","","","","SL1344_4495","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2310","","","","","","","SL1344_4496","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2311","","","","","","","SL1344_4497","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2312","","","","","","","SL1344_2253","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2313","","","","","","","SL1344_2255","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2324","","","","","","","SL1344_2254","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2360","","","","","","","SL1344_0564","","","","","","","","","","","","","","","","","","",""
"","","","","","ddg","","","","","","","SL1344_0563","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2472","","","","","","","SL1344_0562","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2488","","","","","","","SL1344_2377","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2547","","","","","","","SL1344_3088","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2550","","","","","","","SL1344_3533","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2552","","","","","","","SL1344_0407","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2553","","","","","","","SL1344_4199","","","","","","","","","","","","","","","","","","",""
"","","","","","aSTM2590","","","","","","","SL1344_1151","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2555","","","","","","","SL1344_3065","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2556","","","","","","","SL1344_3441","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2557","","","","","","","SL1344_3442","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2558","","","","","","","SL1344_0812","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2560","","","","","","","ykfc","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2561","","","","","","","SL1344_3440","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2562","","","","","","","SL1344_3258","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2563","","","","","","","SL1344_3257","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2564","","","","","","","SL1344_3355","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2565","","","","","","","SL1344_3356","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2566","","","","","","","SL1344_2969","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2567","","","","","","","ydfk","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2568","","","","","","","SL1344_2045","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2569","","","","","","","ygfj","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2570","","","","","","","ynae","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2571","","","","","","","SL1344_0941","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2572","","","","","","","SL1344_0428","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2573","","","","","","","yojl","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2574","","","","","","","SL1344_4211","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2575","","","","","","","alda","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2579","","","","","","","SL1344_2183","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2656","","","","","","","SL1344_2182","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2678","","","","","","","SL1344_3231","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2734","","","","","","","SL1344_3233","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2737","","","","","","","SL1344_3234","","","","","","","","","","","","","","","","","","",""
"","","","","","aSTM2779","","","","","","","SL1344_3029","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2763","","","","","","","SL1344_4036","","","","","","","","","","","","","","","","","","",""
"","","","","","nxia","","","","","","","SL1344_4035","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2768","","","","","","","nmpc","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2770","","","","","","","SL1344_0936","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2771","","","","","","","ybek","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2772","","","","","","","SL1344_3965","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2773","","","","","","","SL1344_0720","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2774","","","","","","","SL1344_0721","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2775","","","","","","","SL1344_0170","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2776","","","","","","","SL1344_4227","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2782","","","","","","","trpl","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2786","","","","","","","SL1344_1654","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_2997","","","","","","","SL1344_1655","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3000","","","","","","","SL1344_1656","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3002","","","","","","","SL1344_1658","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3098","","","","","","","yagu","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3101","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3131","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3184","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3191","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3197","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3198","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3253","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3257","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","yhbc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","yhbz","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3275","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3357","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3358","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3425","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3522","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3541","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3591","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3592","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3593","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3594","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3595","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3596","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3617","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3657","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3658","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3659","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3660","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3670","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3728","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3729","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3775","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3822","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3823","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3824","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3910","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3935","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3936","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_3960","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4009","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4012","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4034","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4075","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4097","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4133","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4175","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","yjcg","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4210","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4211","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4232","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4238","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4250","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4258","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4282","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4289","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4331","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4333","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4341","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","SL1344_4486","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","STM4562","","","","","","","","","","","","","","","","","","","","","","","","","",""
